arch,IPC,Variant,dseed,pseed,F1 macro (%),F1 weighted (%)
dinov2_vitb,5.0,real_medoids,3407.0,3,82.9755766310909,84.79873113660588
dinov2_vitb,5.0,real_medoids,3407.0,4,82.30253400995139,84.8882584740307
dinov2_vitb,5.0,real_random,42.0,0,76.17114568151928,72.90543446513492
dinov2_vitb,5.0,real_random,42.0,1,77.42424485666865,73.97166523173503
dinov2_vitb,5.0,real_random,42.0,2,77.68582097619088,73.28301939018063
dinov2_vitb,5.0,real_random,42.0,3,76.71719243057538,73.42480483473562
dinov2_vitb,5.0,real_random,42.0,4,77.06343729094358,74.53294216644653
dinov2_vitb,5.0,real_medoids,42.0,0,82.89168041881464,84.96274090011686
dinov2_vitb,5.0,real_medoids,42.0,1,81.23261883805861,84.71717271828041
dinov2_vitb,5.0,real_medoids,42.0,2,81.17416201350292,84.10980075898756
dinov2_vitb,5.0,real_medoids,42.0,3,82.8620084222462,84.66469137587343
dinov2_vitb,5.0,real_medoids,42.0,4,80.92919842713859,84.81325318653045
dinov2_vitb,5.0,real_random,1234.0,0,76.755995389701,79.1307023907221
dinov2_vitb,5.0,real_random,1234.0,1,77.35398847876571,79.80134992529888
dinov2_vitb,5.0,real_random,1234.0,2,76.90327852764224,78.79130505240954
dinov2_vitb,5.0,real_random,1234.0,3,76.99220338674904,79.40163738511453
dinov2_vitb,5.0,real_random,1234.0,4,76.65572549952611,78.67769439945911
dinov2_vitb,5.0,real_medoids,1234.0,0,82.00285237894165,84.74571110806059
dinov2_vitb,5.0,real_medoids,1234.0,1,80.94748181643666,84.71184646311866
dinov2_vitb,5.0,real_medoids,1234.0,2,80.84126654284208,84.09998517329123
dinov2_vitb,5.0,real_medoids,1234.0,3,81.4849844602185,84.17987684285842
dinov2_vitb,5.0,real_medoids,1234.0,4,80.78626601773628,84.63229188390862
dinov2_vitb,5.0,real_random,2024.0,0,76.00970893069189,78.21093465702428
dinov2_vitb,5.0,real_random,2024.0,1,75.39314641102433,77.89301793824038
dinov2_vitb,5.0,real_random,2024.0,2,76.41446858592577,77.86403290168306
dinov2_vitb,5.0,real_random,2024.0,3,75.70562067010813,78.1113576430496
dinov2_vitb,5.0,real_random,2024.0,4,75.60520160712383,78.23472750269916
dinov2_vitb,5.0,real_medoids,2024.0,0,83.01821712923555,84.7206411074326
dinov2_vitb,5.0,real_medoids,2024.0,1,81.4599913358278,84.34478392579166
dinov2_vitb,5.0,real_medoids,2024.0,2,82.09537826341803,84.15338601558024
dinov2_vitb,5.0,real_medoids,2024.0,3,82.56018909855575,84.39032394315056
dinov2_vitb,5.0,real_medoids,2024.0,4,81.96615619778808,84.96317296290734
dinov2_vitb,5.0,real_random,7.0,0,70.91926007664726,72.84259683479844
dinov2_vitb,5.0,real_random,7.0,1,71.8518540626553,73.32076830598069
dinov2_vitb,5.0,real_random,7.0,2,73.24369756752951,73.5732282209156
dinov2_vitb,5.0,real_random,7.0,3,71.2540842937582,73.72610030815814
dinov2_vitb,5.0,real_random,7.0,4,71.41954764755339,74.05371256867956
dinov2_vitb,5.0,real_medoids,7.0,0,83.58773880020274,85.24280313501316
dinov2_vitb,5.0,real_medoids,7.0,1,81.43007795777812,84.53893784580178
dinov2_vitb,5.0,real_medoids,7.0,2,81.86398677306266,84.25606100043326
dinov2_vitb,5.0,real_medoids,7.0,3,82.80363138523029,84.63051778586697
dinov2_vitb,5.0,real_medoids,7.0,4,82.04191175063947,84.95943883207173
clip_vitb,,full,,0,73.38337017749124,83.21205580854058
clip_vitb,,full,,1,73.56228116683037,83.57145093409544
clip_vitb,,full,,2,72.2870867683004,83.22192063477296
clip_vitb,,full,,3,72.8027317314034,83.42685847078599
clip_vitb,,full,,4,72.9344991945861,83.57402696905616
clip_vitb,1.0,real_random,3407.0,0,32.86251728971345,42.661364461890756
clip_vitb,1.0,real_random,3407.0,1,32.74789230974563,44.46043287256556
clip_vitb,1.0,real_random,3407.0,2,31.445845706961094,35.81798133330021
